store_id,total_revenue
463,8258585.75
496,7439896.61
471,7887960.1
148,8504793.18
243,6622744.86
392,7233751.67
31,8826700.169999998
85,8434576.18
137,8690009.23
451,8078350.509999999
251,7264098.58
65,7681591.470000002
458,6963570.680000001
481,8626157.740000002
53,6798224.539999999
255,8044289.31
296,8189892.959999999
133,6476729.02
472,8525616.77
78,9759966.479999999
322,6266533.220000001
321,8127082.250000001
362,5990948.41
375,9229508.399999999
108,8469360.670000002
155,9085678.51
193,7358558.63
34,7863405.949999998
368,7836860.16
211,8422546.55
115,6368527.07
101,9421812.170000002
126,8371259.59
385,8670927.589999998
81,8199432.450000001
436,8453316.76
183,8704108.720000003
210,6838896.33
28,6443936.76
497,7703908.73
412,8510467.79
406,8492199.65
300,8168019.760000001
76,8528467.6
27,7831386.6
332,8792269.009999998
26,7909926.339999999
384,8947182.92
271,7546738.82
192,7699336.200000001
159,8124140.9399999995
44,9243767.43
253,8296203.09
460,7404254.309999999
329,8906252.96
103,7978627.360000001
236,8193137.449999999
350,6884724.13
336,8559434.729999999
12,7830964.58
223,8146342.850000001
388,7844988.270000001
417,8481962.74
91,9148377.01
409,7636391.76
333,7490786.069999999
285,6757691.32
222,7743624.110000001
209,8345749.710000001
330,6641083.96
372,6449755.58
128,7870432.159999999
22,7498751.67
319,8823821.790000001
230,7943762.77
122,8037423.82
493,7782996.640000001
93,8247345.63
232,7201948.26
190,8184460.270000001
233,8898911.22
157,7371093.98
225,8447760.060000002
360,6506771.5600000005
476,9004941.200000001
246,6790139.879999999
367,8585719.809999999
346,8112341.150000002
111,9394350.57
224,8187299.6000000015
47,6920033.420000001
177,6769817.540000001
416,8162089.83
140,8230806.81
444,8104037.91
132,8184605.28
152,8857549.54
355,7976226.52
185,8040478.29
353,8245736.0
305,7390896.049999999
291,8856741.86
386,7710128.31
325,7936104.550000001
473,7504270.470000001
435,7713868.67
146,9130092.2
259,7803123.03
1,8881701.02
206,9427491.0
52,7711388.890000001
363,8426887.61
297,7776439.52
212,8075042.990000001
274,7467485.73
182,8678247.81
442,9716725.979999999
13,9136825.500000002
280,7306773.710000001
218,8814675.84
440,7013908.99
348,8883527.120000001
86,8408627.36
474,9013907.73
6,7386755.779999999
16,8662553.48
168,8294299.88
205,7339389.16
178,7264844.470000001
142,7641668.799999999
3,7321072.549999999
308,7908651.7700000005
328,9849693.69
40,7196131.51
470,7980952.33
429,7987608.600000001
20,7028595.219999999
164,7521285.8100000005
169,8298351.81
500,9236678.41
283,7902074.3
479,7344135.250000001
359,7140896.29
139,7181337.01
295,8878021.55
431,8035508.09
340,9040993.52
432,7245213.199999999
377,8684040.97
250,8379911.72
402,8347575.969999999
94,8059536.41
57,7627170.640000001
339,8134456.770000001
292,7023913.320000002
306,8015532.0
54,7934857.76
120,6555116.640000001
491,7635425.299999999
96,7561162.37
235,6976205.17
452,6988884.41
48,7217861.379999999
266,8126907.9399999995
268,7248508.920000001
163,7551966.129999999
191,7813157.36
5,7087718.440000001
258,8659642.969999999
279,7894069.07
19,8059971.85
397,8593297.590000002
430,8966892.010000002
92,7171569.85
419,8746566.16
415,8080075.499999999
257,7796232.530000001
299,7766357.2299999995
64,8562266.33
227,10365739.889999999
117,5875557.17
41,7026154.25
154,7333058.11
425,7138614.600000001
309,9110098.5
347,7172649.87
447,7530261.97
484,7618338.56
455,7982880.08
43,8464680.99
15,7343326.32
262,8650527.23
112,6268338.600000001
269,6847011.26
327,8025532.270000001
165,8526870.46
358,7763999.96
366,8313481.500000001
207,8939142.940000001
189,7875106.92
179,6764226.010000001
489,9071007.26
383,6243062.12
37,9019485.07
127,7959879.569999999
61,7872053.23
316,8061304.67
461,8235960.79
486,9703104.8
88,8214738.9
197,8362468.16
318,7901082.84
462,8142933.68
202,8260340.780000001
374,7412606.279999999
263,7936534.319999999
107,8849202.4
9,6965622.470000001
17,7890162.100000001
231,5233194.0200000005
324,9403604.63
72,7847169.160000001
398,8875699.17
286,7429991.52
423,7164216.190000001
