order_id,Product_Name,category,price,quantity,status,final_price,total_amount
100003,Keyboard,Electronics,69844.13,6,Completed,82416.07340000001,419064.78
100014,Tablet,Electronics,87884.32,5,Completed,103703.4976,439421.60000000003
100056,Smartwatch,Electronics,69092.38,4,Completed,81529.0084,276369.52
100084,Tablet,Electronics,74496.04,7,Completed,87905.32719999999,521472.27999999997
100102,Tablet,Electronics,54492.14,6,Completed,64300.72519999999,326952.83999999997
100108,Camera,Electronics,84745.12,7,Completed,99999.2416,593215.84
100112,Mouse,Electronics,43244.46,6,Completed,51028.462799999994,259466.76
100155,Printer,Electronics,36394.78,3,Completed,42945.840399999994,109184.34
100161,Tablet,Electronics,55446.74,6,Completed,65427.15319999999,332680.44
100217,Laptop,Electronics,76457.45,7,Completed,90219.791,535202.15
100223,Monitor,Electronics,21220.56,10,Completed,25040.2608,212205.6
100267,Tablet,Electronics,36819.41,5,Completed,43446.9038,184097.05000000002
100282,Speaker,Electronics,67365.24,1,Completed,79490.9832,67365.24
100285,Monitor,Electronics,54200.37,0,Completed,63956.4366,0.0
100299,Phone,Electronics,5953.26,8,Completed,7024.8468,47626.08
100308,Tablet,Electronics,44718.33,5,Completed,52767.6294,223591.65000000002
100310,Camera,Electronics,78894.13,10,Completed,93095.0734,788941.3
100322,Smartwatch,Electronics,58798.85,7,Completed,69382.643,411591.95
100344,Laptop,Electronics,62706.02,4,Completed,73993.10359999999,250824.08
100352,Mouse,Electronics,90697.32,10,Completed,107022.8376,906973.2000000001
100391,Speaker,Electronics,87489.22,0,Completed,103237.2796,0.0
100419,Keyboard,Electronics,47219.7,10,Completed,55719.24599999999,472197.0
100443,Monitor,Electronics,16774.36,2,Completed,19793.7448,33548.72
100500,Smartwatch,Electronics,73559.64,7,Completed,86800.3752,514917.48
100504,Keyboard,Electronics,45422.71,4,Completed,53598.79779999999,181690.84
100512,Mouse,Electronics,76874.35,6,Completed,90711.73300000001,461246.10000000003
100547,Keyboard,Electronics,73045.53,9,Completed,86193.7254,657409.77
100624,Mouse,Electronics,22313.55,3,Completed,26329.988999999998,66940.65
100627,Mouse,Electronics,14641.14,5,Completed,17276.545199999997,73205.7
100663,Phone,Electronics,86657.81,8,Completed,102256.21579999999,693262.48
100674,Tablet,Electronics,93113.35,8,Completed,109873.753,744906.8
100689,Laptop,Electronics,51382.81,8,Completed,60631.71579999999,411062.48
100694,Smartwatch,Electronics,26005.84,0,Completed,30686.8912,0.0
100699,Tablet,Electronics,886.64,7,Completed,1046.2351999999998,6206.48
100708,Smartwatch,Electronics,61004.62,2,Completed,71985.4516,122009.24
100724,Keyboard,Electronics,94412.55,6,Completed,111406.809,566475.3
100725,Speaker,Electronics,15415.12,6,Completed,18189.8416,92490.72
100731,Speaker,Electronics,18056.37,1,Completed,21306.5166,18056.37
100748,Phone,Electronics,56953.31,8,Completed,67204.9058,455626.48
100749,Keyboard,Electronics,26036.49,10,Completed,30723.0582,260364.90000000002
100755,Smartwatch,Electronics,61994.7,2,Completed,73153.746,123989.4
100756,Keyboard,Electronics,6294.02,8,Completed,7426.9436000000005,50352.16
100784,Speaker,Electronics,38704.74,8,Completed,45671.593199999996,309637.92
100792,Monitor,Electronics,90882.77,7,Completed,107241.6686,636179.39
100795,Speaker,Electronics,65736.56,8,Completed,77569.1408,525892.48
100799,Printer,Electronics,2891.62,1,Completed,3412.1115999999997,2891.62
100830,Tablet,Electronics,87356.11,6,Completed,103080.2098,524136.66000000003
100850,Speaker,Electronics,18570.5,1,Completed,21913.19,18570.5
100859,Tablet,Electronics,90933.61,5,Completed,107301.6598,454668.05
100865,Mouse,Electronics,73022.31,2,Completed,86166.32579999999,146044.62
100872,Mouse,Electronics,43137.3,4,Completed,50902.014,172549.2
100887,Mouse,Electronics,94187.62,10,Completed,111141.39159999999,941876.2
100900,Laptop,Electronics,76368.23,1,Completed,90114.51139999999,76368.23
100903,Speaker,Electronics,29744.18,9,Completed,35098.132399999995,267697.62
100922,Monitor,Electronics,26989.88,10,Completed,31848.058399999998,269898.8
100970,Camera,Electronics,17196.86,6,Completed,20292.2948,103181.16
100972,Camera,Electronics,9602.47,7,Completed,11330.914599999998,67217.29
100974,Laptop,Electronics,13959.57,6,Completed,16472.292599999997,83757.42
101007,Camera,Electronics,80767.35,9,Completed,95305.473,726906.15
101028,Speaker,Electronics,57578.05,9,Completed,67942.099,518202.45
101030,Monitor,Electronics,49406.16,10,Completed,58299.2688,494061.60000000003
101035,Monitor,Electronics,0.0,10,Completed,0.0,0.0
101040,Tablet,Electronics,72518.58,3,Completed,85571.9244,217555.74
101043,Smartwatch,Electronics,75472.36,6,Completed,89057.3848,452834.16000000003
101048,Camera,Electronics,3796.68,6,Completed,4480.082399999999,22780.079999999998
101089,Smartwatch,Electronics,79282.74,4,Completed,93553.6332,317130.96
101114,Camera,Electronics,63784.07,1,Completed,75265.20259999999,63784.07
101129,Mouse,Electronics,30996.43,3,Completed,36575.7874,92989.29000000001
101138,Camera,Electronics,65416.34,7,Completed,77191.2812,457914.38
101146,Keyboard,Electronics,95040.85,5,Completed,112148.203,475204.25
101188,Printer,Electronics,5625.21,7,Completed,6637.7478,39376.47
101197,Speaker,Electronics,87320.78,6,Completed,103038.5204,523924.68
101212,Camera,Electronics,20487.28,7,Completed,24174.9904,143410.96
101248,Camera,Electronics,22524.41,4,Completed,26578.803799999998,90097.64
101267,Tablet,Electronics,5956.56,8,Completed,7028.7408000000005,47652.48
101286,Printer,Electronics,441.75,1,Completed,521.265,441.75
101330,Camera,Electronics,39018.69,4,Completed,46042.0542,156074.76
101351,Phone,Electronics,77067.32,2,Completed,90939.4376,154134.64
101370,Laptop,Electronics,68414.0,10,Completed,80728.51999999999,684140.0
101373,Monitor,Electronics,0.0,4,Completed,0.0,0.0
101457,Monitor,Electronics,6691.63,5,Completed,7896.1233999999995,33458.15
101464,Smartwatch,Electronics,81101.85,6,Completed,95700.183,486611.10000000003
101471,Camera,Electronics,80969.11,7,Completed,95543.5498,566783.77
101508,Speaker,Electronics,81295.31,10,Completed,95928.46579999999,812953.1
101528,Monitor,Electronics,68870.83,6,Completed,81267.5794,413224.98
101529,Smartwatch,Electronics,68044.06,7,Completed,80291.9908,476308.42
101533,Tablet,Electronics,63084.75,6,Completed,74440.00499999999,378508.5
101553,Laptop,Electronics,11766.72,7,Completed,13884.729599999999,82367.04
101571,Tablet,Electronics,53953.55,8,Completed,63665.189,431628.4
101587,Smartwatch,Electronics,32112.1,8,Completed,37892.278,256896.8
101621,Mouse,Electronics,30348.79,8,Completed,35811.5722,242790.32
101622,Smartwatch,Electronics,41616.88,8,Completed,49107.918399999995,332935.04
101632,Printer,Electronics,12398.97,10,Completed,14630.784599999999,123989.7
101650,Monitor,Electronics,46378.45,8,Completed,54726.570999999996,371027.6
101656,Mouse,Electronics,97603.53,1,Completed,115172.1654,97603.53
101667,Speaker,Electronics,96769.36,4,Completed,114187.84479999999,387077.44
101689,Tablet,Electronics,91080.82,9,Completed,107475.3676,819727.3800000001
101716,Printer,Electronics,91622.37,5,Completed,108114.3966,458111.85
101747,Keyboard,Electronics,99821.27,2,Completed,117789.0986,199642.54
101752,Monitor,Electronics,42897.98,9,Completed,50619.6164,386081.82
101765,Keyboard,Electronics,45811.56,6,Completed,54057.640799999994,274869.36
101773,Phone,Electronics,8959.18,5,Completed,10571.8324,44795.9
101789,Tablet,Electronics,53209.71,4,Completed,62787.4578,212838.84
101811,Laptop,Electronics,55167.59,8,Completed,65097.75619999999,441340.72
101823,Camera,Electronics,0.0,3,Completed,0.0,0.0
101859,Monitor,Electronics,27158.24,3,Completed,32046.7232,81474.72
101872,Keyboard,Electronics,1131.41,6,Completed,1335.0638000000001,6788.460000000001
101875,Printer,Electronics,8147.29,7,Completed,9613.8022,57031.03
101888,Speaker,Electronics,2088.25,4,Completed,2464.1349999999998,8353.0
101908,Laptop,Electronics,16486.24,3,Completed,19453.7632,49458.72
101927,Tablet,Electronics,58100.04,10,Completed,68558.0472,581000.4
101941,Phone,Electronics,79501.02,4,Completed,93811.2036,318004.08
101972,Phone,Electronics,83254.94,4,Completed,98240.8292,333019.76
101976,Laptop,Electronics,9668.39,4,Completed,11408.7002,38673.56
101994,Speaker,Electronics,52157.12,10,Completed,61545.4016,521571.2
102006,Speaker,Electronics,11707.92,7,Completed,13815.345599999999,81955.44
102007,Laptop,Electronics,6177.14,10,Completed,7289.0252,61771.4
102009,Tablet,Electronics,9048.17,1,Completed,10676.8406,9048.17
102019,Printer,Electronics,66026.49,5,Completed,77911.2582,330132.45
102029,Mouse,Electronics,20682.7,8,Completed,24405.586,165461.6
102037,Printer,Electronics,62012.4,2,Completed,73174.632,124024.8
102073,Keyboard,Electronics,4555.03,1,Completed,5374.935399999999,4555.03
102126,Speaker,Electronics,86445.42,8,Completed,102005.59559999999,691563.36
102140,Mouse,Electronics,41952.94,1,Completed,49504.4692,41952.94
102170,Speaker,Electronics,85347.88,6,Completed,100710.4984,512087.28
102180,Mouse,Electronics,59988.57,10,Completed,70786.5126,599885.7
102184,Speaker,Electronics,67921.72,3,Completed,80147.6296,203765.16
102225,Tablet,Electronics,61630.19,9,Completed,72723.6242,554671.71
102231,Smartwatch,Electronics,85822.2,8,Completed,101270.196,686577.6
102244,Keyboard,Electronics,71750.98,5,Completed,84666.15639999999,358754.89999999997
102278,Tablet,Electronics,1411.48,3,Completed,1665.5464,4234.4400000000005
102304,Tablet,Electronics,37840.29,1,Completed,44651.542199999996,37840.29
102329,Mouse,Electronics,99398.15,9,Completed,117289.81699999998,894583.35
102354,Smartwatch,Electronics,28841.07,6,Completed,34032.4626,173046.41999999998
102373,Monitor,Electronics,12198.89,4,Completed,14394.6902,48795.56
102408,Tablet,Electronics,40626.12,9,Completed,47938.8216,365635.08
102419,Keyboard,Electronics,32061.53,9,Completed,37832.60539999999,288553.77
102429,Tablet,Electronics,49334.89,10,Completed,58215.17019999999,493348.9
102469,Laptop,Electronics,45842.78,5,Completed,54094.48039999999,229213.9
102471,Monitor,Electronics,56266.59,1,Completed,66394.5762,56266.59
102482,Smartwatch,Electronics,83242.58,4,Completed,98226.2444,332970.32
102491,Camera,Electronics,21441.58,3,Completed,25301.0644,64324.740000000005
102504,Laptop,Electronics,35423.46,2,Completed,41799.682799999995,70846.92
102518,Speaker,Electronics,45221.1,3,Completed,53360.897999999994,135663.3
102588,Speaker,Electronics,38916.12,1,Completed,45921.0216,38916.12
102654,Phone,Electronics,72980.38,8,Completed,86116.8484,583843.04
102673,Mouse,Electronics,18539.95,3,Completed,21877.141,55619.850000000006
102710,Monitor,Electronics,72238.46,3,Completed,85241.3828,216715.38
102726,Phone,Electronics,60194.04,1,Completed,71028.9672,60194.04
102736,Phone,Electronics,49185.1,6,Completed,58038.418,295110.6
102742,Phone,Electronics,17686.01,4,Completed,20869.491799999996,70744.04
102751,Keyboard,Electronics,32142.12,9,Completed,37927.7016,289279.08
102763,Speaker,Electronics,22272.32,7,Completed,26281.3376,155906.24
102769,Printer,Electronics,49563.39,9,Completed,58484.8002,446070.51
102818,Smartwatch,Electronics,13936.44,2,Completed,16444.9992,27872.88
102845,Laptop,Electronics,68608.85,5,Completed,80958.443,343044.25
102847,Tablet,Electronics,706.51,1,Completed,833.6818,706.51
102848,Tablet,Electronics,83662.08,6,Completed,98721.25439999999,501972.48
102852,Camera,Electronics,0.0,10,Completed,0.0,0.0
102893,Camera,Electronics,459.99,10,Completed,542.7882,4599.9
102899,Smartwatch,Electronics,60432.63,10,Completed,71310.50339999999,604326.2999999999
102903,Camera,Electronics,5194.53,2,Completed,6129.545399999999,10389.06
102915,Speaker,Electronics,66634.24,1,Completed,78628.4032,66634.24
102923,Smartwatch,Electronics,92627.82,3,Completed,109300.8276,277883.46
102935,Monitor,Electronics,8016.32,4,Completed,9459.257599999999,32065.28
102941,Phone,Electronics,33126.11,6,Completed,39088.809799999995,198756.66
102949,Camera,Electronics,41316.78,9,Completed,48753.80039999999,371851.02
102988,Phone,Electronics,0.0,5,Completed,0.0,0.0
103037,Smartwatch,Electronics,51029.94,10,Completed,60215.3292,510299.4
103053,Speaker,Electronics,19219.11,9,Completed,22678.5498,172971.99
103064,Mouse,Electronics,99152.66,1,Completed,117000.1388,99152.66
103069,Monitor,Electronics,28016.91,6,Completed,33059.953799999996,168101.46
103149,Laptop,Electronics,87724.87,1,Completed,103515.34659999999,87724.87
103164,Keyboard,Electronics,60744.47,10,Completed,71678.4746,607444.7
103190,Smartwatch,Electronics,45733.48,4,Completed,53965.5064,182933.92
103191,Speaker,Electronics,57617.8,9,Completed,67989.004,518560.2
103218,Printer,Electronics,55020.99,8,Completed,64924.76819999999,440167.92
103222,Monitor,Electronics,40577.73,8,Completed,47881.7214,324621.84
103259,Keyboard,Electronics,66964.8,4,Completed,79018.46399999999,267859.2
103272,Printer,Electronics,19069.59,3,Completed,22502.1162,57208.770000000004
103289,Laptop,Electronics,24186.09,4,Completed,28539.586199999998,96744.36
103307,Printer,Electronics,73227.13,6,Completed,86408.0134,439362.78
103310,Printer,Electronics,63477.29,8,Completed,74903.2022,507818.32
103385,Monitor,Electronics,66856.21,3,Completed,78890.3278,200568.63
103397,Keyboard,Electronics,13721.66,4,Completed,16191.558799999999,54886.64
103414,Camera,Electronics,65367.3,3,Completed,77133.414,196101.90000000002
103424,Smartwatch,Electronics,21314.59,4,Completed,25151.2162,85258.36
103433,Phone,Electronics,80223.91,2,Completed,94664.2138,160447.82
103479,Speaker,Electronics,26019.84,6,Completed,30703.4112,156119.04
